Keuwl Accelerometer Data File
2019-06-26 17-08-48

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
2.7599061,4.405331,8.676587,-0.843956,9.767414,94.956841,63.081898
2.7700548,4.367024,8.686164,-0.834379,9.757895,94.905243,63.308746
2.7801468,4.380192,8.768764,-0.845153,9.838271,94.928047,63.456856
2.7905400,4.424485,8.845378,-0.890643,9.930258,95.145760,63.425644
2.7998619,4.447230,8.892065,-0.960075,9.988414,95.515717,63.428776
2.8099980,4.429273,8.883685,-0.955287,9.972507,95.496902,63.499840
2.8199418,4.400543,8.866926,-0.958878,9.945180,95.532845,63.605381
2.8313558,4.389769,8.823831,-0.949301,9.901072,95.501892,63.550110
2.8399029,4.377798,8.785523,-0.930147,9.859803,95.413177,63.513073
2.8498418,4.390966,8.768764,-0.907402,9.848613,95.286446,63.400543
2.8598309,4.425682,8.754398,-0.909797,9.851593,95.298828,63.181664
2.8697951,4.479551,8.723274,-0.899023,9.847342,95.238167,62.818722
2.8805811,4.510676,8.694544,-0.893037,9.835588,95.209435,62.579994
2.8897090,4.540604,8.690952,-0.878672,9.844887,95.120552,62.415100
2.8996820,4.519056,8.655039,-0.908600,9.805974,95.316528,62.429585
2.9098938,4.462792,8.603564,-0.940921,9.737719,95.544937,62.583584
2.9196680,4.521450,8.620323,-0.907402,9.776342,95.325638,62.322517
2.9297547,4.623203,8.699332,-0.895431,9.892128,95.193497,62.011883
2.9397829,4.671088,8.693346,-0.916979,9.911316,95.308510,61.750080
2.9497590,4.611232,8.616732,-0.951695,9.819229,95.561928,61.846600
2.9602139,4.484340,8.547300,-0.932542,9.697179,95.518448,62.316257
2.9699628,4.413711,8.532935,-0.907402,9.649622,95.395782,62.649467
2.9798379,4.465186,8.586804,-0.889446,9.719167,95.250748,62.525318
2.9899199,4.550180,8.647857,-0.894234,9.812707,95.228630,62.248325
2.9998357,4.569334,8.688558,-0.915782,9.859437,95.329536,62.260006
3.0108979,4.481946,8.871715,-0.871489,9.977708,95.010811,63.197323
3.0198021,4.420894,8.884883,-0.812831,9.957215,94.682404,63.546223
3.0309360,4.374207,8.819042,-0.818817,9.878242,94.754761,63.618790
3.0401618,4.343082,8.787917,-0.828394,9.837483,94.830475,63.700932
3.0498910,4.338294,8.785523,-0.823605,9.832830,94.804764,63.719830
3.0597739,4.363432,8.811859,-0.842759,9.869076,94.898674,63.656433
3.0698130,4.329914,8.840590,-0.938527,9.888631,95.446121,63.905472
3.0798509,4.316746,8.892065,-0.992397,9.934181,95.733246,64.105263
3.0897939,4.304775,8.907627,-1.003170,9.944006,95.789955,64.206985
3.0997570,4.278439,8.841787,-1.029507,9.876342,95.983360,64.178200
3.1102147,4.253299,8.762778,-0.982820,9.789932,95.761681,64.108871
3.1197629,4.220978,8.757990,-0.976834,9.771042,95.737579,64.267914
3.1300857,4.282030,8.781932,-0.938527,9.815240,95.486969,64.006348
3.1398258,4.440047,8.753201,-0.985214,9.864239,95.732109,63.103672
3.1504481,4.550180,8.726865,-0.973243,9.889870,95.647507,62.462498
3.1607959,4.639963,8.747216,-0.939724,9.946161,95.421455,62.056274
3.1697779,4.726154,8.804677,-0.918176,10.035034,95.249741,61.774090
3.1798849,4.762067,8.863335,-0.831985,10.095949,94.726982,61.751877
3.1902120,4.835090,8.862138,-0.920571,10.137210,95.210266,61.383579
3.1997769,5.067328,8.790312,-0.985214,10.194020,95.546082,60.037952
3.2102828,5.175067,8.692149,-0.827197,10.149829,94.674706,59.231594
3.2198310,5.094861,8.590396,-0.621295,10.006924,93.559586,59.328327
3.2297971,4.994305,8.546103,-0.434548,9.907966,92.513710,59.698174
3.2398777,4.886566,8.531737,-0.353145,9.838383,92.057053,60.198009
3.2505488,4.981137,8.511387,-0.445322,9.871866,92.585503,59.662460
3.2602530,5.187038,8.449138,-0.513556,9.927589,92.965248,58.453682
3.2707930,5.353435,8.271967,-0.538695,9.867872,93.129379,57.089943
