Keuwl Accelerometer Data File
2019-06-26 17-45-19

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.6504139,7.688979,1.067814,-0.451307,7.775879,93.327278,7.906434
1.6606090,8.209718,1.569399,-0.721852,8.389490,94.935966,10.822300
1.6711320,9.027337,1.598130,-1.101333,9.233622,96.850220,10.039185
1.6805530,9.837775,1.250970,-1.058237,9.973295,96.090958,7.246832
1.6902300,10.613496,0.799663,-0.951695,10.686041,95.109512,4.308753
1.7005429,11.674128,1.175553,-0.424971,11.740859,92.074326,5.750147
1.7102020,11.614272,1.175553,-0.269348,11.676721,91.321762,5.779581
1.7202129,11.540052,3.092112,-1.139640,12.001365,95.448975,14.999833
1.7302279,11.504139,3.683479,-2.485181,12.332452,101.625603,17.754406
1.7403079,11.528081,3.816358,-3.433285,12.619377,105.787155,18.317064
1.7504290,11.684901,3.713407,-3.605668,12.779950,106.387657,17.630013
1.7602839,11.899182,3.636792,-2.902970,12.776699,103.132759,16.994925
1.7705840,12.196063,3.891775,-1.848324,12.934689,98.215500,17.697931
1.7803190,12.372037,4.431667,-1.003170,13.180035,94.365166,19.707541
1.7902889,12.368446,5.109226,-0.610521,13.396096,92.612137,22.444811
1.8000870,12.366052,5.426458,-1.558625,13.593932,96.583778,23.692778
1.8112379,12.263102,4.999093,-3.032256,13.585624,102.896820,22.178425
1.8201900,11.914744,4.426879,-4.321534,13.425128,108.777802,20.382360
1.8302100,11.224017,4.220978,-4.747702,12.897127,111.599777,20.609604
1.8401649,10.377667,4.498705,-4.532224,12.185047,111.835907,23.436666
1.8503729,9.496601,5.143942,-3.762488,11.436866,109.206810,28.442694
1.8602279,8.872911,5.997475,-3.001132,11.122278,105.654190,34.055977
1.8702400,8.852561,6.616376,-3.123236,11.484724,105.780159,36.774323
1.8802229,9.380483,6.205771,-3.761291,11.859694,108.490601,33.487106
1.8905979,10.242394,5.366603,-4.088099,12.264568,109.470779,27.652733
1.9002279,10.960655,5.038598,-3.727772,12.626152,107.172058,24.688175
1.9103549,11.050438,5.341464,-2.852691,12.600843,103.084564,25.797789
1.9202050,10.650606,6.011840,-1.994370,12.391737,99.261665,29.442986
1.9304069,10.141838,6.895301,-1.399411,12.343435,96.509781,34.211262
1.9401640,9.822212,7.812280,-1.193510,12.606825,95.432426,38.497643
1.9503700,9.915586,8.396465,-1.614889,13.093027,97.084885,40.257748
1.9607940,10.208876,8.419210,-2.252944,13.423115,99.662292,39.512238
1.9713259,10.500969,8.396465,-2.499547,13.675478,100.531487,38.645466
1.9801660,10.799047,8.718486,-2.418144,14.088251,99.883339,38.915272
1.9901730,10.910378,9.036914,-2.197877,14.336415,98.818642,39.634480
2.0000718,10.838552,9.141062,-1.881842,14.302956,97.560333,40.143749
2.0105610,10.588357,8.963891,-1.595735,13.964635,96.561508,40.250584
2.0201039,10.231621,8.529344,-1.466449,13.400979,96.282372,39.815460
2.0302720,9.682152,7.876924,-1.417367,12.561804,96.478569,39.130112
2.0400898,8.920795,7.291541,-1.340753,11.599344,96.637581,39.261345
2.0504451,8.183381,7.028179,-1.318008,10.867391,96.966042,40.657158
2.0600939,7.484274,6.999449,-1.392228,10.341419,97.737015,43.082806
2.0703630,6.902483,7.295133,-1.523909,10.158028,98.628098,46.584167
2.0800619,6.755240,7.841011,-1.824382,10.509191,99.997124,49.254223
2.0903730,6.771999,8.140285,-2.187103,10.812384,101.670181,50.242531
2.1000700,6.688202,8.118738,-2.378639,10.784429,102.742065,50.518364
2.1103220,6.471527,7.767987,-2.390610,10.389288,103.303162,50.202248
2.1202080,6.216545,7.304709,-2.242170,9.850459,103.157043,49.601139
2.1307850,6.069301,7.163452,-1.940500,9.587336,101.677483,49.726749
2.1401329,6.155493,7.360973,-1.768118,9.757062,100.440491,50.096500
2.1503789,6.499061,7.582437,-1.733402,10.135868,99.846931,49.399448
2.1602020,6.833052,7.613562,-1.666364,10.365023,99.251480,48.092522
2.1701660,6.873753,7.451953,-1.398214,10.234016,97.852547,47.311260
2.1800969,6.622362,7.240066,-1.027112,9.865556,95.975945,47.551388
2.1901050,6.303933,7.019799,-0.410606,9.443821,92.491936,48.075466
2.2001228,5.670667,6.766014,-0.445322,8.839328,92.887756,50.033279
2.2101510,5.433641,6.822278,-0.524330,8.737439,93.440361,51.464233
