Keuwl Accelerometer Data File
2019-06-27 16-05-18

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
2.1699991,0.820014,8.206126,5.543774,9.937120,56.090321,84.293541
2.1810281,0.773327,8.192958,5.524621,9.911813,56.125378,84.607872
2.1899929,0.724246,8.165425,5.473145,9.856673,56.270477,84.931320
2.2002208,0.688333,8.158242,5.412093,9.814350,56.533665,85.177223
2.2098958,0.673968,8.164227,5.357026,9.788083,56.817966,85.280861
2.2199769,0.661997,8.195353,5.317522,9.791736,57.107655,85.381844
2.2299771,0.646434,8.225280,5.303157,9.807985,57.268841,85.506294
2.2398629,0.638055,8.264784,5.310339,9.844464,57.355572,85.585426
2.2498858,0.647632,8.319851,5.305551,9.888792,57.552834,85.548973
2.2599070,0.640449,8.349778,5.299565,9.910316,57.672878,85.613861
2.2699440,0.648829,8.331821,5.297171,9.894456,57.631153,85.547157
2.2800410,0.647632,8.285135,5.349844,9.883508,57.228504,85.530396
2.2899759,0.666785,8.215703,5.412093,9.860685,56.711456,85.360054
2.2999370,0.673968,8.177396,5.456386,9.853739,56.376194,85.288422
2.3101430,0.696713,8.212111,5.451597,9.881502,56.516476,85.150658
2.3198540,0.696713,8.212111,5.430049,9.869631,56.620804,85.150658
2.3300140,0.737414,8.333019,5.400122,9.957123,57.157089,84.942894
2.3399611,0.727837,8.362947,5.388151,9.975008,57.305122,85.026009
2.3498600,0.721852,8.355764,5.383362,9.965965,57.304466,85.062492
2.3598650,0.715866,8.313866,5.426458,9.953857,56.964310,85.078682
2.3699720,0.714669,8.274361,5.450400,9.933914,56.724461,85.063530
2.3799181,0.719458,8.239645,5.461174,9.911296,56.564007,85.009789
2.3904598,0.735020,8.232463,5.452795,9.901852,56.586025,84.897980
2.3999579,0.733823,8.242040,5.430049,9.897229,56.726006,84.912132
2.4098518,0.741005,8.289924,5.392939,9.917445,57.058453,84.892120
2.4202878,0.731429,8.330625,5.363012,9.934596,57.327805,84.982300
2.4299488,0.715866,8.385692,5.340267,9.967484,57.603939,85.120628
2.4401038,0.689530,8.415619,5.319916,9.979959,57.787567,85.315956
2.4499528,0.644040,8.389283,5.306748,9.947685,57.760086,85.610046
2.4599528,0.587777,8.340201,5.318719,9.909249,57.537815,85.968742
2.4699919,0.566229,8.300697,5.342661,9.887680,57.293545,86.097641
2.4799500,0.594959,8.263587,5.363012,9.869283,57.084309,85.881943
2.4898710,0.634463,8.258799,5.347449,9.859285,57.154400,85.607010
2.4998739,0.659603,8.248025,5.336676,9.846070,57.179379,85.427734
2.5099671,0.685939,8.245630,5.307945,9.830321,57.319324,85.244621
2.5199060,0.687136,8.259995,5.286397,9.830853,57.470394,85.244606
2.5298989,0.667982,8.259995,5.287594,9.830177,57.459606,85.376579
2.5400229,0.657208,8.267179,5.297171,9.840639,57.432323,85.454765
2.5499210,0.656011,8.250419,5.315128,9.836175,57.291489,85.453835
2.5603049,0.638055,8.219295,5.313931,9.808249,57.194988,85.561096
2.5698879,0.648829,8.204929,5.309142,9.794327,57.175812,85.478577
2.5799410,0.673968,8.219295,5.280412,9.792537,57.368885,85.312332
2.5899410,0.703895,8.245630,5.260061,9.805821,57.559578,85.120728
2.6003289,0.706290,8.246828,5.231331,9.791621,57.705849,85.104919
2.6100349,0.684742,8.242040,5.214571,9.777108,57.768257,85.250824
2.6199169,0.671574,8.267179,5.221754,9.801223,57.807495,85.355850
2.6299009,0.693121,8.321048,5.232528,9.853913,57.926270,85.238403
2.6402810,0.717063,8.377312,5.266047,9.920926,57.940350,85.107643
2.6498659,0.719458,8.392874,5.318719,9.962265,57.731571,85.100441
2.6600051,0.672771,8.364143,5.336676,9.944427,57.544125,85.401306
2.6699550,0.645237,8.324639,5.373785,9.929427,57.234776,85.567902
2.6799359,0.622492,8.288726,5.374983,9.898531,57.111347,85.705086
2.6898670,0.632069,8.285135,5.367800,9.892232,57.137295,85.637383
