Keuwl Accelerometer Data File
2019-06-26 16-16-02

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
2.0102420,5.947197,7.730877,0.265756,9.757369,88.439270,52.429691
2.0203431,5.925649,7.764396,0.233435,9.770039,88.630905,52.649773
2.0299499,5.950788,7.817069,0.166397,9.825789,89.029663,52.719585
2.0399499,5.989096,7.856573,0.130484,9.879881,89.243271,52.681587
2.0500629,6.003461,7.864953,0.156820,9.895636,89.091972,52.644852
2.0600340,6.039374,7.867347,0.153229,9.919308,89.114883,52.488327
2.0705290,6.020220,7.829040,0.183156,9.877776,88.937546,52.441147
2.0799921,5.975927,7.762002,0.216675,9.798333,88.732887,52.407501
2.0907989,5.968745,7.708132,0.245406,9.751997,88.558022,52.247810
2.1000679,5.965154,7.694964,0.257377,9.739701,88.485756,52.217075
2.1109798,5.999869,7.754819,0.247800,9.808009,88.552261,52.271038
2.1200628,6.070498,7.809886,0.216675,9.894050,88.745148,52.142651
2.1306598,6.120777,7.894880,0.215478,9.991971,88.764313,52.214142
2.1402559,6.155493,7.936779,0.180762,10.045657,88.968964,52.204075
2.1508510,6.145916,7.929596,0.160412,10.033769,89.083961,52.222153
2.1604421,6.089652,7.872135,0.166397,9.953998,89.042168,52.275517
2.1704881,6.044162,7.793127,0.204704,9.864412,88.810921,52.203701
2.1800840,6.027403,7.729680,0.257377,9.805294,88.495888,52.053825
2.1911609,5.998672,7.716512,0.292093,9.778238,88.288223,52.139175
2.2001150,5.980716,7.741651,0.278924,9.786721,88.366829,52.312569
2.2104299,6.023811,7.794323,0.215478,9.853132,88.746902,52.301502
2.2200420,6.077681,7.829040,0.160412,9.912507,89.072754,52.177822
2.2301259,6.047753,7.864953,0.141258,9.922336,89.184288,52.441525
2.2400599,5.974730,7.882909,0.122104,9.892046,89.292740,52.840248
2.2505698,5.947197,7.875727,0.111330,9.869580,89.353683,52.942451
2.2607360,5.920861,7.875727,0.125696,9.853906,89.269119,53.064671
2.2706659,5.893328,7.885303,0.156820,9.845502,89.087349,53.226254
2.2799978,5.866991,7.870938,0.165200,9.818378,89.035919,53.299183
2.2903628,5.914876,7.876924,0.143652,9.851513,89.164497,53.096680
2.2999849,5.948394,7.858967,0.141258,9.857318,89.178909,52.878193
2.3103180,5.950788,7.846996,0.209493,9.850437,88.781380,52.825054
2.3206310,5.963956,7.873333,0.253785,9.880412,88.528152,52.856503
